Categoria;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Agricultura;19.009.740;18.533.743;20.655.431;20.794.861;21.949.714;22.278.086;22.496.768;24.424.471;24.338.238;26.731.689;28.547.016;26.081.621;26.830.058;27.022.114;29.904.905;30.532.872;28.931.303;30.607.148;31.115.225;31.331.221;29.091.937;30.928.259;32.864.341;34.165.367;36.379.823;36.586.914;34.502.695;35.063.696;36.139.329;37.540.691;38.581.564;38.903.161;41.119.087;45.650.907;46.996.616;46.237.497;47.069.209;51.460.189;52.920.481;53.460.890;56.173.063;61.751.635;59.996.909;63.538.088;65.741.523;64.294.209;68.759.433;71.573.622;70.222.653
Agricultura e/ou Agropecuária;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Agropecuária;3.332.108;3.737.844;4.310.490;5.050.807;5.335.352;5.660.269;6.227.105;6.763.432;6.804.973;7.859.832;8.825.783;8.595.867;8.801.218;9.243.919;9.481.245;10.751.184;10.593.440;11.435.878;11.864.534;12.449.608;1.135.645.229;973.645.061;1.136.852.084;1.204.615.021;1.205.782.326;2.089.378.545;1.449.118.402;1.162.352.235;1.403.765.755;1.396.838.098;1.454.817.257;1.859.384.587;2.098.910.704;2.890.734.676;3.075.681.747;2.092.934.470;1.701.520.739;1.431.812.827;1.530.276.799;937.546.118;978.580.658;914.540.828;787.576.188;990.442.005;815.174.932;911.477.831;927.329.882;833.576.914;862.542.076
Cimento;7.760.596;8.399.270;9.595.554;10.963.722;12.213.525;13.351.836;15.661.336;17.048.993;18.494.451;19.048.122;19.538.018;19.124.493;18.979.446;14.538.293;12.620.480;13.534.535;16.587.047;17.125.150;16.821.734;16.704.224;16.941.306;18.401.179;14.954.768;15.356.804;15.212.504;17.558.096;20.953.850;23.572.756;25.229.296;26.352.110;26.299.866;25.963.815;24.399.950;21.629.149;21.074.144;23.144.753;24.984.262;27.891.474;30.785.765;31.849.080;35.446.325;39.553.736;41.340.972;42.395.890;41.809.588;38.184.572;34.886.736;32.287.119;31.420.279
Comercial;688.385;730.951;804.091;859.027;913.738;965.083;1.036.875;1.072.597;1.117.604;1.202.351;1.292.000;1.357.749;1.348.635;1.246.729;950.308;1.067.087;1.269.378;1.301.684;1.600.788;1.885.290;2.214.022;2.066.631;2.113.484;1.685.126;1.699.234;1.691.964;1.736.028;1.839.559;1.957.809;2.082.380;2.314.400;2.430.759;2.695.104;1.986.275;2.128.273;1.999.931;2.061.407;2.096.944;1.892.461;1.470.669;1.562.350;1.582.966;1.826.969;1.722.452;1.804.074;1.535.757;1.558.829;1.472.672;1.534.689
Conservação;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Energia Elétrica;5.861.359;7.123.845;5.677.979;6.225.480;5.437.385;5.533.983;5.346.725;6.134.215;8.488.682;7.776.388;7.495.026;8.585.412;7.414.218;6.420.674;6.574.177;7.661.099;14.148.228;11.710.325;10.537.482;10.131.950;8.720.774;9.706.413;11.109.146;10.148.763;10.560.535;12.473.868;13.994.043;15.782.332;16.697.326;24.444.764;24.493.871;28.064.226;22.662.751;21.173.874;26.218.321;26.816.374;26.996.093;25.739.157;34.811.137;23.287.142;36.954.582;30.916.306;46.272.204;66.803.186;81.972.803;77.733.933;54.841.158;57.661.667;48.961.774
Uso de HFCs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.492.276;1.707.588;2.039.690;2.157.462;2.120.330;2.275.606;2.735.336;2.616.648;2.260.936;3.674.654;2.280.480;3.671.435;3.776.093;4.273.840;4.513.182;6.131.755;6.379.899;9.625.088;6.957.141;9.416.223;13.047.168;11.774.321;12.676.516;13.578.710;14.480.904;15.383.099;16.285.293;17.187.487;18.089.682
Metalurgia;9.300.651;9.628.318;10.499.628;11.118.810;11.889.726;13.737.761;15.573.185;19.461.143;21.027.508;24.045.963;24.470.593;20.033.441;20.708.033;23.828.831;29.575.121;32.782.415;33.630.908;37.756.239;41.607.522;40.935.515;34.794.004;39.829.974;40.527.906;43.107.782;43.908.779;45.549.078;46.947.467;46.945.715;47.427.524;45.512.949;49.811.098;48.045.101;51.434.886;54.462.257;56.187.370;54.335.755;52.574.971;57.178.171;57.310.813;46.707.220;61.414.517;64.589.644;63.532.303;62.142.990;62.669.310;62.177.982;57.550.797;62.496.608;60.201.744
Não alocado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.493;37.384;65.752;77.037;86.103;102.977;107.639;112.685;122.719;128.165;134.663;140.226;145.405;173.089;178.485;183.147;187.810;204.149;215.485;226.820;238.155;240.163;239.614;252.248;264.451;269.624;268.963;268.470;268.983
Outras Industrias;16.400.641;19.653.623;21.560.295;26.412.296;29.055.882;30.461.007;35.593.695;38.075.872;41.526.413;44.837.427;46.647.089;38.275.982;37.969.481;34.406.996;32.281.050;33.003.959;35.250.558;37.829.451;37.883.777;38.363.877;37.016.807;38.467.861;40.439.224;42.553.356;44.186.181;47.352.484;50.212.239;52.427.621;54.486.331;58.315.513;62.163.015;59.513.221;62.732.016;61.742.940;66.608.254;68.350.657;69.850.717;70.172.582;71.010.264;68.829.638;73.378.433;77.572.853;74.759.010;76.285.966;76.666.797;74.947.547;71.951.398;72.638.674;73.766.243
