user;digital_footprint_score;cpf_score;invitations_sent;invitations_sent_approved;friends_in_base;acquisition_source
18F9E14284504AB3942312E410C7EA560517C7FE953FD457FA4E96934EC7F732;73;904000;0;0;0;F
A6CC9D9620530A3DCDC929EC8076ED80A8C5B1A2A0C5DCACF87E8AEAF64B1671;50;504000;0;0;1;G
AFEC60D8A4253A52A04C1FB25A0B8880140DA69EAD7B23A68E1ABE91EF90CB54;790;178000;1;1;2;G
C7E013DFDC1DD1723F2667B14F48EF562389134CA0BE8B21665072A0E0165FAD;156;377000;1;1;2;G
8E6757690A9554B3600469693F040423B76B154FBDFE1E0A16DBD8B9D882F275;244;73000;0;0;0;G
48547AE755B5B62229EE9FF9D27481D663E5B5E653C3D96A30C29B8940212C06;500;178000;0;0;0;U
69048710CE327166F58F3EE855EDD127B1DD6E31D5ABCE8711C080E8F3179BA8;224;70000;0;0;0;G
73888D141541AC9965CBAA81AFD205470D438C43CAA90B0B54774043215CDC52;50;178000;0;0;0;G
31D7BDC5EE68FC4F63F3EBFE629BBF08524789A0F693DA06B9D07AA483CF656C;50;621000;0;0;1;G
449DD5C68C0CABD92ED0C40F3FC78A9E7D1226C0FABF1D198E408616AF6EFABB;50;791000;0;0;0;D
255075C107BFF29C04D478ECA8031B982BE6A3A0DDE10C22C9A869BE68AF61A8;500;178000;0;0;0;G
396D10AE058BF66E9C92653195A1CF57EC759762D68DD39A73CA6C33B8B114E2;177;377000;0;0;0;G
F76A6CB67B37FB181770A57B2D34CC5BCB0288BF2F0F5F037F8127E25C0B02B9;40;504000;0;0;1;R
4C6877F64B946FE50C36B57A40FFEB6D84AA8E9A888739DE854F055E15250225;30;710000;0;0;1;G
C01E91B0C793C151D4E8688BD592DB41596B41BF81B48474697EB332CB3DA3A2;30;836000;0;0;1;G
FF16A0AAEBF284BBD163448D4796F9D133F1AB4BB54B8630B1C9C372FD2F4C12;500;739000;0;0;0;D
02504C1A31B199F4246257E42C26CB8B5871167795539320EFFB2147123B83C1;40;311000;0;0;1;G
D73745F82FAAF46A0545D877F6D9BFD01B134FEE2FE394E0EFEEAB1EC6D298AB;40;879000;0;0;0;G
F5EC869DDCD631A5EE6CC81BE4653586355DA9883D29A6B75C9D95D21D07AA6A;91;755000;0;0;1;R
4E40540E56C423E32C1B03D5FD3B83B8FB963FC8C068EBC5859EC30DA6B44C8B;174;226000;1;1;0;G
5E5C3395533452B2A2D7E80ADA1CCA04E1C92A5E54F4E77170171B0BBB79CC15;120;960000;0;0;1;D
628A7B88AAB9FDC90ED6C284D6BEF07B4323E6C6A0C71A2D49FE762B89D0CC49;242;219000;0;0;0;G
4B02CE3B6427235ED0633C460FF6DADCFC423B499DE8940BC9D394260FD0DD8E;906;956000;0;0;0;D
5BAF63C103E4BF7978D1CE28F526EEA7F2A23D8B7F060E6B7329937A9DE3006C;91;896000;0;0;0;G
369DE4E1003A7B68362C36D8B3D560BF6FDFA3A5AE577ED12773F8DD98ECBE82;40;254000;0;0;0;F
AF0E3007C6469C9E4B1C6A8A4137D461BCE170C06B9636BF51AA1D2AA8B5DF63;247;913000;0;0;0;G
7039A8FDC61E111E463BD02C461C59D082F20627BD68097F1D1FA4CBC5058ADD;500;226000;0;0;0;R
F10F778A5342B7D1209CE577A7100EB4F45BC55964CCE8BC9A8A5E17DC9F7B2A;78;791000;0;0;0;R
3DB10C7B20B0F8DDDB3320F4B918C705149B5A00E04B6DA50BBE502B66788B58;40;970000;0;0;5;U
049926CB9571CD3FE68D662AF0690BD822DFA46E719D7695D37FB5063B8E9D2E;84;137000;0;0;1;G
AE2C15DFE917EAC8649BC599365A6819AC5F886192F3B9E413091DC4D87D36E2;84;226000;0;0;7;D
85A51152501257BE510032A8082601F00526A01A74EABDF0E487C78354FF6D08;219;777000;0;0;1;D
FC3CDCE65A2CCC1CB6F0529C5B308BAC979E417B93D9FC7B6F1A567FC97B681A;215;545000;0;0;1;G
D937686EBAE0BE39D42A39BFCB9A545A7E018F03AFB5657F8023087DDAA04898;121;43000;0;0;0;G
B27F80FCA6A31D2FC4BCCF1D9DC3A6CDFBF528399E5F49FFDCC69AFCB631DF06;500;377000;0;0;0;F
AD03D24BA08B33A01279103FEA1DA9D0FCAA94B6ADAC761AC005C7BAEB3FF923;40;686000;1;1;2;U
9A56B350FBC6848347E2FAE81049E0419DAAC2A5C75E168178C6ABFF04351416;78;964000;0;0;1;G
025E36CE4E575232078727843AB13378360A01CCC8A2341D09A4182B0A40ED59;25;703000;0;0;3;G
51B0DADDBF35A2528F6D298E87CCBBBD64C8C1D1392B0BAF251EFF3B12202F74;72;178000;0;0;0;G
617E71AE2EE084F080FFEF01A358436136742F0C0CCA7E2507B7E93D6845BB0D;157;800000;0;0;0;G
A1545255ABC14140B2AACA78175AB14C0BA8D7BA112E8114F5112474C7161A0D;218;944000;2;2;4;U
AD6A967AB50902EB883E56CE38E6B0374BFA46DF77C5C75D444AF6E8A31CC3F7;91;858000;0;0;4;R
2A913CE98956FC01A57C3D0E9628C8A8C60CBCCBA980D81DA2B652012E567214;295;178000;0;0;0;R
E231AF63072ACD7D53645D0F2C8AB51023241ADF4F2ACDD048D9EC11C35B9F78;128;545000;1;0;1;F
257927874DE599FD90068DBDB5441CC825C3D86766DF1BAFBA68D6DFC683E02A;88;377000;0;0;0;G
E385F841253022881A93CB14E8A62009AA339D29E9161AB334CDE76D7C4EC5EE;30;916000;0;0;0;U
A48E7EE4209193BED8D66FC8846342FEB38DB968E64363566C0597CC452BD46A;30;836000;0;0;0;G
5546BD7553C4E89540173B5CCA138D2B926F6DEB7F0651EAE6A3812B8E638810;75;445000;0;0;0;G
D0600EC50977BC6B499C7674EAE0A2AFFFE9E38835E9D752D76E645FC77A3538;76;203000;0;0;1;R
533371AA6EEC84FF0D89CA5EE4F82F1EC17391C89708CCCA59C42CABBA7479F4;83;377000;0;0;0;F
C87BFCE4DF0978FDFCBC8533E71789FB82EBADC441369421734A63AF4838B6E7;84;178000;0;0;0;R
D39C7B32A11FA865ED228A7E872126A418B5C11E47E134AA76CAC9F65CEE660B;121;800000;0;0;2;G
CAF92F6D5578207559B9850336A9E94F7C6B8FB47B39CF09736ED7E26262180D;474;226000;1;1;0;R
958ABC338FC5644FBDBDD04806D5920D1D516604377CFF539E356DB511BABA8D;496;377000;0;0;3;R
B7805AA805DC72A9F565931D25263906DD5B29699D386C6F6D03F9DDB214C9F9;50;178000;1;1;2;G
16C3AAB6767058DE95C3976C0F1322C52E97EB1F937B87AD9D35BFFE90CB7586;59;900000;0;0;0;G
9E3EB9D4EF11601DC133E1B39C6B2E81EE00D323701D4E98A3FC8149CC3C8BCA;198;246000;0;0;1;D
5339C94911C45234F83E116E36C645A5A78C772129DD137A85E0AC8EAF5A4176;50;979000;0;0;1;F
405FF8BE0B016BBD277E8CEEFB2E73CB358D6A12FB6B42A4C75A83F4AA83AE7C;75;171000;0;0;0;G
1DE3CC8F01327FEB1EED143C003D46069451F2AFEDA04862B0A6D16FDBA69049;709;941000;0;0;0;G
BD3F7AF0CE631DC26A8355712C7C2D0D271A6662FD7B10ECC534DB857F29FC66;221;222000;0;0;0;F
85B0892BAD4A961FA5CBA80C8DFECC36F90F9978C272912EFB3D3E3085D141ED;30;900000;0;0;0;G
1C597F534000128E8B6B49F34F47C8A2291D29A57418D1B77F1D468D759ABFBA;50;49000;3;2;5;R
D3EF7545F68FA7128926E6C9B3BEC6E56C32D255156B7CCCDD03C4FDC8B70B4E;224;840000;0;0;0;F
83A50910333A856102F22FC940BA64C96D9534B9D6B45881367E2ECC5381110D;143;462000;0;0;2;R
BE20E20B739CD131ED70370CDD68E8678CB13DB73D3363E8E321C9BD8B3684E9;143;219000;0;0;4;A
A3CE46DECD4144D5748CBF2AB120A2E86709E8E5011BFD3151A7BD3E0FCCE4BB;40;926000;0;0;0;F
7694BF493FEF4B7E2C1F89350F52C73691DAC876829BEB3BD0D1DA7F7715DBB5;40;950000;1;1;3;G
F81F8A7503DC488821512B5A42F734319419827D0C148B872CF6B86518DADA82;72;696000;0;0;0;A
B0CE07A2475ACDE314B64BCD9F1DAA439697AF8F324B12B9D767776517AF13DD;40;956000;0;0;0;G
C31FD5918CC04141128CDCA7D7FD4163464AD30ECC20DD87DAFDCC3D1F2FE45B;50;511000;0;0;1;G
EEA28C3F7378FC423B5A93B672FB7DE9083AD2E00F7FD4AF287FC09F5B05FB5C;88;49000;0;0;1;G
4523BE04531EE685F701BE340E2B5865DFC6A79B2D6FDC1D74861C00CC3B3B75;30;978000;0;0;0;G
EEA3322FD8E119554BF4C1FFC11D37A1BC83377E882E31EAE4596BC652F2C41F;71;292000;0;0;0;X
697C7EB7438F70271551CBB665EDAB56D58674B60A9E5FB0BCBCA931C4F86360;247;178000;0;0;1;G
E5F48BAD8534E9B1CA20C4196CE626A06B7F1DA92288CDF13A863EB743C06E2C;50;178000;0;0;2;G
C61CA22C6B550E6F42FA3D44EE7D5DCD7A93028A93CB99E1963D10206376C15A;50;219000;0;0;0;G
629084405DB0A20558589A0C0B9A9C152E232099246F273DEEFCCDE0BAF208CD;222;901000;3;1;0;G
FA72D4A50EFEAFE4D6D4548C1877EA112075393E29571D5C4233F6BD91C782F7;99;764000;0;0;0;G
0DAC474E62ECC08DC758ABEE8AFA6DF7D9A07D755E1AAA8B37A97B76FC53C498;98;107000;1;1;4;U
AAFEEE1D2628FBA6D779180E9D8820E5786C0152FBAFD7916329170A3EEFD545;157;621000;0;0;0;U
CB752F11CAAFF586DDD8C400CDEE8C6EAD8D687CD74B04CA35FA315A9B559268;85;970000;0;0;4;R
0311DD562A008F6DFDA28E0543EA766C618CEF6EBDA1E36302093F57FEC6D08F;500;178000;0;0;1;D
9B1DD3146EEED9F5077213A94601E2F2D07FCFD615B0677D701C098D87BAC68D;702;956000;0;0;0;F
654A4467DC4C2C9457AF07A28E37CB21DA2122B8093B9354C391E3035B53A0B3;50;73000;1;1;2;D
EE2B33B56C1A518638A4FDE8F4941DDE801698428D6072533E4A4A97A5F712DB;50;836000;0;0;0;G
3775149A27848B99F966F0007193B286B9C37F07E260BD81EECB2A1BBCA8DDDE;203;22000;0;0;0;G
C642081E2701C64F7C3037AA1DC7353C942332CD781E92124AE9CD2EFD43F562;112;845000;0;0;1;G
6ABE7317ED5164B276F9737EDA3AB7A29BFE0E4E7FF6EAD476B42C60265E5DFE;50;707000;0;0;1;U
F17232CB20D2CF56BF5E69357F402B2381C9FE52034055D7E7DAAB4AAD6ADAEB;135;226000;0;0;0;U
99CEAF84C0DC148C8897F6314FA992A1DCBA9A9B09ABD82BDCD7A9543D0CB084;50;377000;0;0;1;G
08767FB2CF68811B460AA1F4EB1C5752CB910378782B40230870CF261446C888;68;768000;0;0;0;U
1967C30DE2F451CFC75CABCAF5819C2224BD727AA16B77184414CF3F9AB65318;50;956000;2;2;0;R
E757D8A221FF2018ABE4BE742EA46CAAEFB2A0FBDB21E388186E5FE328BCECEF;94;956000;1;1;1;D
5C2DB8EEFD410B40D2F8E03101D0F11B1D66D6454415518F176076010BA363AA;83;226000;0;0;0;D
F1AF4C32236EC7B7281AD84354B7676A97A3F9F336563124B52B0F7095B52252;50;311000;0;0;0;G
CB21206416E90215F243619092BCD17B99E3820200894CD7790A08C12877EF5F;91;219000;0;0;1;U
ADB58CFD7134E79E7A57581679A03FE61D05EA850C1CB6552720D402C57EB770;118;964000;0;0;0;F
3E45B7B3E1A0781982482E32620ABB89669E2BB9ACB46914202697239A0CE644;40;932000;0;0;1;G
3BD7A4F9E85C605F89A0A2912560B8DB5AEB2BAE12B1D82713D2789EAC55D47A;50;311000;2;2;4;G
F5994FAAFD43AC28F8329715B518BC72772AD010B09138FD3426F87FD45D1DE5;40;957000;1;1;4;R
F5994FAAFD43AC28F8329715B518BC72772AD010B09138FD3426F87FD45D1DE5;40;957000;1;1;4;R
F5994FAAFD43AC28F8329715B518BC72772AD010B09138FD3426F87FD45D1DE5;40;957000;1;1;4;R
F5994FAAFD43AC28F8329715B518BC72772AD010B09138FD3426F87FD45D1DE5;40;957000;1;1;4;R
CDCFFEBC2D989FA4253C393600F62B3F1252B01D0047F83E9D9F7DFCF7AE045E;50;944000;0;0;0;G
B0ED09D7D4013BA0CD8343BE54517A603965C7E5E314392316FD8ED47A3680F4;500;246000;0;0;1;G
D2E7A853474740ABCA580272862BF52A8C4AE5DE408A4B1DABF71ECE51EA0BB3;50;700000;0;0;1;G
82B358BE668BA3027BD1F8D6D8478F22A3CE763E390313209398977F1FAC38A1;50;901000;0;0;0;R
A6B24DCD575938F41E6F2E2E96E158563533E55A658C417ECCA8157FD7F3ECBF;119;226000;0;0;3;R
82E8BD0D400CCC09A685BB347F1C9FA718F2CBD22BA6915A06AFAD28B07BE9C7;500;311000;0;0;1;G
2297B0A82EDF8F0DE17BE65739F52AFC918D86D9E3383BE2A78890167EEDA173;40;49000;0;0;4;A
E6E990236CCDEC6A7CD5A21B7125B86E4F829B5F41901FF6BA1C6140BF03DCE7;98;951000;0;0;0;G
F4D409C080CB0EBB1EED010DF67C071798CE40F689021EF9633BBC90E68A7C6D;50;736000;0;0;0;F
285B940E0BFE4313E8643FBDBE803607CEA24FDFEE22736113C95727215A7774;40;875000;0;0;0;G
DDD439BEF71A058830C945341EEE41F49E870EF2F860ABD375D234A3BD4C8F79;212;653000;0;0;0;F
818DBC5F4548C9465672972DDD94B27A7B2C9D994583354DED59EF42ECF723A4;121;246000;0;0;2;U
1FC01CF7EF655175FB8F3FF0010F7F3F3CA5E9261223801534168394C5C4E315;84;916000;0;0;0;U
EC24FEB357BE524B49552B85DDE9EB79C78B92649E79CE887CF696A5B39AA317;500;178000;0;0;1;R
7EE8A9AA434079CDD1F9D40E103B5583A60C16BF107BEC98EA7937A9A908DD47;84;246000;0;0;1;R
722840C194D151B51065072C310CD2D4A93EB3F45052D3A1D66CDB2F1B0E9AE7;87;219000;0;0;2;D
48F58EB5029AEA7D93AAB71D62EC46C4FE2FF773EDD52EE7B844BD2BB9D96210;500;104000;0;0;1;D
BB07058B4D6B380E2B821D383C7BA4B9DAE2C1A108DBF96A990831CE5FB4C74A;171;700000;0;0;1;G
08795F4ABA7EDD406A30F85AB951D78C06DC5579A017F495B00F180F28AA246F;142;285000;0;0;0;G
E9C25341D30FF56FAC750024E1AAB7826634279707A019E9C884E507CEC434D7;50;964000;0;0;0;A
58E7A20DC89D5881653499939CD08D5D253B8774EEC5C96F3000AF2EA3F87087;138;73000;0;0;0;F
44B390098CE315C7E928420A94DBF2C99B4C36415698C0F33E9B328D50609DED;40;791000;0;0;0;U
5B03E5BD02778005295936790F4E798FC1D73F016C7922F9169B81786C0A4372;50;311000;0;0;0;G
FB7A306AA604D75A31D7E8121FB82C50356202B993BB6D249BAFE785CCD3DA03;500;226000;0;0;1;G
D0701BC05ACA8EED44E2D84C5148EC1FAD3B46E51F0C2FADA35617318B8961C9;50;219000;0;0;1;G
74D7CA516BEC7308B454EE36E8A3154895B8D17465973582F19D80C4F59BD764;500;377000;0;0;1;G
2635C457D02D9082DEF49C5442D33F2909DCF25A5EE65221938C38775152F3BE;50;913000;0;0;0;G
55169575C862FC1249DEA99C718BC6B9C8D82E38A64C6ADF76134638D803BA34;84;377000;0;0;4;U
59D2C35A8EA47FC461884F31CC8ED2B6FEAC10096F95B0F068101DDAB1292AE3;50;875000;0;0;0;G
5B754FFBCA4AB6BE13BCF7C5DA548DB827AEA6EBE731128303FB93DD2CBE249B;93;219000;0;0;0;U
96681208F939007D6E7C088B18E3B69FD97FC70BB73AA1FEC3D642734820CBBD;178;759000;0;0;0;G
C50BA3C49FF6AD3E235F3549B32EF28A86ACDBA35DF387BF40623174228890C4;99;896000;0;0;0;D
834C5DC2F8FC43B6DF64340706C0F9217A0BD401C3FC6974887D3A5B0FDDF37A;50;377000;1;1;1;G
880F293922BB6FF6E67E3A378CCD460FE5E844F7B0D54DAD817F75334CD67BF0;186;251000;0;0;0;F
C7F235AF011BE71D529DBD4267AC72CCBC7E7698831EBDC0E5F48D41360633EC;30;764000;0;0;0;G
1F147A65D37DC3F09BC93714E887E92B53C611587220AD5C7DEC3E8F46F7A419;30;46000;0;0;0;G
DFC36BC25F0DA0344982E5216DA8793A0FFD6E4803EEC6D5D3B60A27D9E12BFD;50;504000;0;0;3;U
4C845AD66FCFD35E670420983751BC61B657E74F3DA4B88A35CF4A6FB20A6DAF;500;377000;0;0;0;G
4AB174C23221FBB508EFC640566B06462A9BF9DA7A3F921B4702DEFCE81D5C26;50;964000;0;0;0;G
F9FCA625415DB538DB3BBD2E0CA5D2B505361564DEA7D395A351462B97AC3ED5;40;959000;1;1;1;D
5F74A5C3C66D47220B5A49DD3FDF224266257D4FFE56348B5E0E07702EAD721F;50;836000;0;0;1;G
C0B5C5C27455E0B821D0184B6E00DEACE95FAC0F053D95BECAC2EFCFC60E6BA5;50;883000;1;1;2;R
E72141D038D5E8BB0D35E18E0EB7573D4D40546EDCC31104FC636F3B7C626EBB;30;900000;0;0;0;G
34A1A65CF74668373EDB0F24971160907458803258BF2D1F29FE461F8ECB08DD;30;956000;0;0;0;G
2243C7C7E5A3A352D37CE04A3058CC89BB2E2DBAFC34D8648E81CE71AF0AFEB4;50;956000;0;0;2;R
F2D6AB1F76073E05082B0AF05BB5E2BEEAA7EAF5F5B47373208F04BA1AF5B21B;89;511000;1;1;2;R
2AC1970E3E4A485999AD9B145959F1B63C86B066AD02488B85C79546C2CFEF86;125;405000;0;0;0;G
4E606B374039BC2FF6809A63974BED19081A4278483369759A9169B3A212D5EC;91;107000;0;0;1;D
C49DB14098D5822C2CACB4D62CCF0D990B881A3F71D5DF7EB64D62DA29D1DEC9;30;956000;0;0;1;R
645C2EBCDD9234BF7CE8E2E5694180B7E89C0A9F1283F4D0DAEBF4532A1B0AF2;20;836000;1;1;1;D
79589884EF7C0FA79631DDB431A43C2522267595B12EDB4B0E7D8B082DCBDBD5;232;219000;0;0;1;G
AE1FB977963EFEF05609FCA3C844F5316F432F9AB48E04188E06A01E76985B60;111;947000;1;1;0;G
541CD0A368B3E9FD6AB5B85F34D66DBA49E666F01681754D2A260A94B0491A84;500;964000;0;0;4;R
31B8C1500ED26D96E3A6484FB1B2D7418B4FB36692E374AEA26F742DD6774C0E;86;970000;0;0;13;U
5F67ACC989D33E873D4A8F31E926F5D5F7E697A6344B4D576F7AD3DED27D654A;40;73000;1;1;0;U
DECAF5FC055036F20AB1FB2C1980CE295BF9DFBEF52391C650C7A2699EC7EA45;50;246000;0;0;0;R
C5855E6FE1478A9703947D1F500BFD2281A2110CD7D9AA46A525D86CBB147F64;30;900000;0;0;1;R
DEE57461BDC6C982A10E7BE230B22357CEBD61D7551D6479FE4885C14EB2A39F;500;219000;0;0;0;G
0CE33215882F29C985E0C0BE23E91CD59086D08A2B00CE4A8E893E5C2E099BA4;50;73000;0;0;1;G
E5C5EF5015E6FDB4B85336FE3B3D697000BA14D683CC5711B5EB384CEC915F38;50;913000;0;0;0;G
C41A201020BFC2531629FFEBC5A455AC06017C4FFCA69F8E8E62BEC3AA7CE031;66;755000;0;0;0;U
1F1D906D8E21B7ED52A446965742BDED79629A80D33C175CC5A86BA66DBB552A;30;913000;0;0;1;F
1E5BAB440E0B872594175227D7181F088B0E401CA472AA51BEB51EDC11E3F157;50;646000;0;0;0;D
D315FF3628091A853A7C4A6AA41E038B2598EF49C5D9761C9D9DD3BE72D03956;50;932000;1;0;1;G
A6E9DB9AA47C77AFAE9D55DD76F065D6A4CB149B928E89DBD6ABBD5C13563E5E;500;219000;0;0;0;F
34EA41C5B15BFFEBB0A8E07B912026C3C6519F251A85ECB7C9D316981B656C2C;138;49000;0;0;0;F
3307F7C20EF08AB877597E873905872D4DD6943B3C3B766C4A46F16D3F9C6C44;104;696000;0;0;1;G
AE8365969CF4B4A45F0271B1E2351367B1BD97878FD0BA37E5FEBC2042E19C13;163;74000;0;0;1;F
5266209F5568C18534478AB076FC5A186A9EE6B77EDCCB1C5863ECD482A8314E;40;800000;0;0;1;U
BBC521AC74FD94347F08710B3F4E895AC306938FAC4A07E9943C553CEDA4DFEB;140;178000;0;0;1;G
E157EF44C943F1B36DD66DB6FA5E2F4CBD301B73D0B702B5A87D7E17D3396CFD;50;849000;1;1;0;G
172109ECDE43A2B101D2582927B3E7BF0D802B394AB0074FF445EAFA773CCA22;142;43000;1;0;0;F
43043E350304308AB6756A1A694ECE5F2EF5A37E68AD7AC805EC6FD8C50588D8;50;879000;0;0;0;G
D59981CC157E994EE821C09FA6D3D238CC6CE2157BE3E989D94E532E433440FC;149;377000;0;0;2;G
A5838B1E476AD851E26E259A787EF78496ADEEF6A0F88F2F6F68EB61F9C409E1;127;800000;0;0;0;G
CDBC250BC23AC5726B83C25E8064A899BAEA52D52C5670A066A47AA4C3333173;81;964000;0;0;0;U
2D1A536B4DA0BDCE9E8D1E9184764E6D2CE03786546CD9162D1075D062B678F3;25;956000;0;0;1;D
36435D6A1202F5CB8669C46AFF571595FE2B07A82799FC6B2253A8B202767F07;500;219000;0;0;0;U
D7102E56F64EA6733ED95E60A387106A7A88B092CE97410AD0DF3547BA29F7BC;40;964000;0;0;0;G
3BA0C38209098F2C51553906D06901347059EB57CC18F57406A142A4560566CC;207;246000;0;0;0;Y
5F3400BD766ED48E581D80338C96321FDA22F1C1A44B5D34DF676489FACB72B3;148;178000;0;0;3;G
E040FF91D6966F9BF0F7C6BEB733486254C2FD3FACCF6459E3CA2A4A51C6E4ED;906;47000;0;0;1;R
18FA15A31458B8A07F295B194190716290EE7247EEC72681F75C7B51B79C7294;500;956000;0;0;0;G
98FD015743016A4919E2C5694119F70FB94E6C02ECD962250E8D4BD60BB87304;148;901000;1;1;0;G
58E9EA345EA48D4CF4E34C301CE3BCEF40D0560D14D1331AE15DF431CC15BEFC;72;70000;0;0;1;D
62CC8752D6A0D48376F2B9430E840F56073FBAD80C479D0C8A9CAEC2A9E7C2E6;175;246000;0;0;0;U
467898B0360F379F7A3D499F90984B3D111D9B80EA1197A048CA23E805180099;30;451000;0;0;0;G
C0F050E57F07B83A7BD9A0BAB214A216BE9A1C2A3530FA0D51889B31B5766156;500;800000;1;1;2;G
6EC23D57997CAB2F1750944F6D5DC3C39A8D4A0C0E5FFC7DDE72C106BECD1E86;227;301000;0;0;0;G
DE96EA223B92974EE368D205E73CB07352070357DCFBEBCA93CDA2BB4272A89C;40;913000;1;1;0;G
2967EB2D4F401DB2F8831A89FF0A8CF55FD1783535B2CC1BC10B9771231A397E;201;953000;0;0;0;R
00F60FB9155A396DA36716869C9EABDFAFED26C0C76B54972DDDD19E913B3776;50;226000;0;0;0;F
0ABBA3EF8B52534EC9C4DA7B343CF081EB72C7236FA9B0C9951A0A2FCE25E9CC;50;201000;0;0;2;U
48A5D1C80E96D9CEFD995DD002ECBB71B460998B483C5C6C8FD847358BBB88AC;50;466000;2;1;0;U
217793C600E49A83556433B61EC0CAAF6F4ACA5E4ED4AE5FD9BB7ECE99CC4ECB;104;644000;0;0;0;G
80D7A16724A27EBCF1F48FDB8F2ACA10665AEE85E123185C240B474890F769BD;66;967000;0;0;2;R
F849A976A6E668AB7DE4A13DDD9C96F0198C64B5F48F3A3B69F2CBC755A8B9C5;145;43000;0;0;0;G
801D308C119211F97CA45282E0B5A102C5FD84B7ED035B7DE0BB5FEE6181877E;709;966000;0;0;0;R
20939CFD01B02E5FF1676AB5195B49AE8DAE452B8CF45484D6629A3E3CB78269;50;246000;1;0;2;G
95206FEC972F9F7A89478A16D53E2E215B4E820E6C63CEB0D705E16C2CBEB820;73;259000;1;1;0;G
EEE02F0EC97055D1655735B9A6D2569C26219153E988E487EB95C1C9A89A466E;74;377000;1;1;2;F
F943665A579266E4FC5479A23673E99FDD2AA2D4A6597B47053A828F7E71C47E;50;246000;0;0;0;G
97096A82014236A97EAA4346EBA84B113E915664503435A6FE070167C487C514;40;764000;0;0;0;G
3E702CA8B8E32BE1F741E17EF1B9C4AC4F9B54F24FE3B1D662C9EB77BE3E6591;40;850000;0;0;0;G
